Family,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
,Lalage melanoptera ,LC,LC,r,3
Artamidae,Artamus fuscus ,LC,LC,r,1
Vangidae,Hemipus picatus ,LC,LC,r,1
Aegithinidae,Aegithina tiphia ,LC,LC,r,1
Rhipiduridae,Rhipidura aureola ,LC,LC,r,2
,Rhipidura albicollis ,LC,LC,r,1
,Rhipidura hypoxantha ,LC,LC,w,3
Dicruridae,Dicrurus macrocercus ,LC,LC,r,1
,Dicrurus leucophaeus ,LC,LC,r,2
,Dicrurus caerulescens ,LC,LC,r,1
,Dicrurus annectens ,LC,LC,s,3
,Dicrurus aeneus ,LC,LC,r,1
,Dicrurus remifer ,LC,LC,r,4
,Dicrurus hottentottus ,LC,LC,r,1
,Dicrurus paradiseus ,LC,LC,r,2
Monarchidae,Hypothymis azurea ,LC,LC,r,3
,Terpsiphone paradisi ,LC,LC,s,2
Laniidae,Lanius cristatus ,LC,LC,w,2
,Lanius vittatus ,LC,LC,r,3
,Lanius schach ,LC,LC,r,1
,Lanius tephronotus ,LC,LC,w,2
,Lanius excubitor ,CR ,LC,r,5
Corvidae,"Dendrocitta
vagabunda",LC,LC,r,1
,Dendrocitta formosae ,LC,LC,r,4
,"Urocissa
erythroryncha",LC,LC,r,2
,Cissa chinensis ,LC,LC,r,3
,Garrulus lanceolatus ,LC,LC,w,5
,Corvus splendens ,LC,LC,r,1
,"Corvus
macrorhynchos",LC,LC,r,1
Stenostiridae,"Culicicapa
ceylonensis",LC,LC,w,1
Paridae,"Melanochlora
sultanea",EN ,LC,r,5
,Parus monticolus ,LC,LC,r,3
,Parus major ,LC,LC,r,1
,"Machlolophus
xanthogenys",LC,LC,r,3
Alaudidae,Eremopterix griseus ,LC,LC,r,2
,Mirafra assamica ,LC,LC,r,2
,Alaudala raytal ,LC,LC,r,1
,"Calandrella
dukhunensis",LC,LC,w,3
,Alauda gulgula ,LC,LC,r,1
,Galerida cristata ,NT ,LC,r,3
Cisticolidae,Cisticola juncidis ,LC,LC,r,1
