English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Himalayan Flameback ,Dinopium shorii ,LC,LC,r,1
Black-rumped Flameback ,"Dinopium
benghalense",LC,LC,r,1
Greater Yellownape ,"Chrysophlegma
flavinucha",LC,LC,r,3
Lesser Yellownape ,Picus chlorolophus ,LC,LC,r,3
"Streak-throated
Woodpecker",Picus xanthopygaeus ,LC,LC,r,2
"Black-naped
Woodpecker",Picus guerini ,LC,LC,r,2
"Scaly-bellied
Woodpecker",Picus squamatus ,LC,LC,r,4
Great Slaty Woodpecker ,"Mulleripicus
pulverulentus",VU ,EN ,r,3
"Grey-capped
Woodpecker",Picoides canicapillus ,LC,LC,r,3
"Indian Pygmy
Woodpecker",Picoides nanus ,LC,LC,r,2
"Yellow-crowned
Woodpecker","Leiopicus
mahrattensis",LC,LC,r,2
"Fulvous-breasted
Woodpecker",Dendrocopos macei ,LC,LC,r,2
Collared Falconet ,"Microhierax
caerulescens",NT ,LC,r,2
Common Kestrel ,Falco tinnunculus ,LC,LC,r,2
Eurasian Hobby ,Falco subbuteo ,LC,LC,s,4
Oriental Hobby ,Falco severus ,CR ,LC,s,5
Laggar Falcon ,Falco jugger ,CR ,LC,w,5
Peregrine Falcon ,Falco peregrinus ,I ,LC,r,2
Slaty-headed Parakeet ,Psittacula himalayana ,LC,LC,r,3
Plum-headed Parakeet ,"Psittacula
cyanocephala",LC,LC,r,1
Red-breasted Parakeet ,Psittacula alexandri ,VU ,LC,r,2
Alexandrine Parakeet ,Psittacula eupatria ,NT ,LC,r,1
Rose-ringed Parakeet ,Psittacula krameri ,LC,LC,r,1
Indian Pitta ,Pitta brachyura ,LC,LC,s,2
Western Hooded Pitta ,Pitta sordida ,VU ,LC,s,2
Long-tailed Broadbill ,"Psarisomus
dalhousiae",LC,LC,r,3
Indian Golden Oriole ,Oriolus kundoo ,LC,LC,s,2
Slender-billed Oriole ,Oriolus tenuirostris ,LC,LC,w,5
"White-browed Shrike
babbler",Pteruthius aeralatus ,LC,LC,r,4
White-bellied Erpornis ,Erpornis zantholeuca ,LC,LC,r,2
Small Minivet ,"Pericrocotus
cinnamomeus",LC,LC,r,1
Grey-chinned Minivet ,Pericrocotus solaris ,LC,LC,v,2
Short-billed Minivet ,"Pericrocotus
brevirostris",LC,LC,w,4
Long-tailed Minivet ,"Pericrocotus
ethologus",LC,LC,r,3
Scarlet Minivet ,"Pericrocotus
flammeus",LC,LC,w,1
Rosy Minivet ,Pericrocotus roseus ,LC,LC,r,4
Indian Cuckooshrike ,Coracina macei ,LC,LC,r,1
"Black-winged
Cuckooshrike",Lalage melaschistos ,LC,LC,r,2
"Black-headed
Cuckooshrike",Lalage melanoptera ,LC,LC,r,3
Ashy Woodswallow ,Artamus fuscus ,LC,LC,r,1
Common Iora ,Aegithina tiphia ,LC,LC,r,1
White-throated Fantail ,Rhipidura albicollis ,LC,LC,r,1
Black Drongo ,Dicrurus macrocercus ,LC,LC,r,1
White-bellied Drongo ,Dicrurus caerulescens ,LC,LC,r,1
Crow-billed Drongo ,Dicrurus annectens ,LC,LC,s,3
Bronzed Drongo ,Dicrurus aeneus ,LC,LC,r,1
Hair-crested Drongo ,Dicrurus hottentottus ,LC,LC,r,1
"Greater Racquet-tailed
Drongo",Dicrurus paradiseus ,LC,LC,r,2
Black-naped Monarch ,Hypothymis azurea ,LC,LC,r,3
"Indian Paradise
flycatcher",Terpsiphone paradisi ,LC,LC,s,2
Brown Shrike ,Lanius cristatus ,LC,LC,w,2
Bay-backed Shrike ,Lanius vittatus ,LC,LC,r,3
Long-tailed Shrike ,Lanius schach ,LC,LC,r,1
Grey-backed Shrike ,Lanius tephronotus ,LC,LC,w,2
Great Grey Shrike ,Lanius excubitor ,CR ,LC,r,5
Rufous Treepie ,"Dendrocitta
vagabunda",LC,LC,r,1
Grey Treepie ,Dendrocitta formosae ,LC,LC,r,4
Red-billed Blue Magpie ,"Urocissa
erythroryncha",LC,LC,r,2
Common Green Magpie ,Cissa chinensis ,LC,LC,r,3
Black-headed Jay ,Garrulus lanceolatus ,LC,LC,w,5
House Crow ,Corvus splendens ,LC,LC,r,1
Large-billed Crow ,"Corvus
macrorhynchos",LC,LC,r,1
"Grey-headed Canary
flycatcher","Culicicapa
ceylonensis",LC,LC,w,1
Sultan Tit ,"Melanochlora
sultanea",EN ,LC,r,5
Green-backed Tit ,Parus monticolus ,LC,LC,r,3
Great Tit ,Parus major ,LC,LC,r,1
Black-lored Tit ,"Machlolophus
xanthogenys",LC,LC,r,3
"Ashy-crowned Sparrow
lark",Eremopterix griseus ,LC,LC,r,2
Bengal Bushlark ,Mirafra assamica ,LC,LC,r,2
Sand Lark ,Alaudala raytal ,LC,LC,r,1
Eastern short-toed Lark ,"Calandrella
dukhunensis",LC,LC,w,3
Oriental Skylark ,Alauda gulgula ,LC,LC,r,1
Crested Lark ,Galerida cristata ,NT ,LC,r,3
Zitting Cisticola ,Cisticola juncidis ,LC,LC,r,1
Golden-headed Cisticola ,Cisticola exilis ,NT ,LC,r,2
Striated Prinia ,Prinia crinigera ,LC,LC,r,3
Grey-crowned Prinia ,Prinia cinereocapilla ,VU ,CR ,r,5
Grey-breasted Prinia ,Prinia hodgsonii ,LC,LC,r,1
Graceful Prinia ,Prinia gracilis ,LC,LC,r,3
Jungle Prinia ,Prinia sylvatica ,LC,LC,r,3
Yellow-bellied Prinia ,Prinia flaviventris ,NT ,LC,r,2
Ashy Prinia ,Prinia socialis ,LC,LC,r,2
Plain Prinia ,Prinia inornata ,LC,LC,r,1
Common Tailorbird ,Orthotomus sutorius ,LC,LC,r,1
Thick-billed Warbler ,Arundinax aedon ,LC,LC,w,2
Blyth's Reed-warbler ,"Acrocephalus
dumetorum",LC,LC,w,2
Paddyfield Warbler ,Acrocephalus agricola ,LC,LC,w,4
Clamorous Reed-warbler ,"Acrocephalus
stentoreus",NT ,LC,r,2
Pygmy Cupwing ,Pnoepyga albiventer ,LC,LC,w,4
Striated Grassbird ,Megalurus palustris ,CR ,LC,r,3
Bristled Grassbird ,Chaetornis striata ,VU ,VU ,r,3
Nepal House Martin ,Delichon nipalense ,LC,LC,w,4
Northern House Martin ,Delichon urbicum ,LC,LC,w,4
Wire-tailed Swallow ,Hirundo smithii ,LC,LC,r,2
Asian Plain Martin ,Riparia chinensis ,NT ,LC,r,1
Barn Swallow ,Hirundo rustica ,LC,LC,r,1
Red-rumped Swallow ,Cecropis daurica ,LC,LC,w,3
Collared Sand Martin ,Riparia riparia ,LC,LC,r,3
Pale Sand Martin ,Riparia diluta ,LC,LC,r,4
Ashy Bulbul ,Hemixos flavala ,LC,LC,r,4
Black Bulbul ,"Hypsipetes
leucocephalus",LC,LC,r,1
Striated Bulbul ,Pycnonotus striatus ,LC,LC,r,4
Black-crested Bulbul ,"Pycnonotus
flaviventris",LC,LC,r,3
Red-whiskered Bulbul ,Pycnonotus jocosus ,LC,LC,r,1
Himalayan Bulbul ,"Pycnonotus
leucogenys",LC,LC,r,2
Red-vented Bulbul ,Pycnonotus cafer ,LC,LC,r,1
Yellow-browed Warbler ,"Phylloscopus
inornatus",LC,LC,w,4
Hume's Leaf-warbler ,Phylloscopus humei ,LC,LC,w,1
"Lemon-rumped Leaf
warbler","Phylloscopus
chloronotus",LC,LC,w,2
Buff-barred Warbler ,Phylloscopus pulcher ,LC,LC,w,3
Ashy-throated Warbler ,"Phylloscopus
maculipennis",LC,LC,w,3
Dusky Warbler ,"Phylloscopus
fuscatus",LC,LC,w,2
Smoky Warbler ,"Phylloscopus
fuligiventer",LC,LC,w,3
Siberian Chiffchaff ,"Phylloscopus
collybita",LC,LC,w,2
Tickell's Leaf-warbler ,Phylloscopus affinis ,LC,LC,w,2
Grey-cheeked Warbler ,"Phylloscopus
poliogenys",NT ,LC,w,5
Green-crowned Warbler ,Phylloscopus burkii ,LC,LC,w,3
"Chestnut-crowned
Warbler","Phylloscopus
castaniceps",LC,LC,w,4
Greenish Warbler ,"Phylloscopus
trochiloides",LC,LC,w,1
Large-billed Leaf-warbler ,"Phylloscopus
magnirostris",LC,LC,s,4
Yellow-vented Warbler ,Phylloscopus cantator ,EN ,LC,w,4
Blyth's Leaf-warbler ,"Phylloscopus
reguloides",LC,LC,w,1
"Western Crowned Leaf
warbler","Phylloscopus
occipitalis",LC,LC,w,3
Grey-hooded Warbler ,"Phylloscopus
xanthoschistos",LC,LC,r,2
Grey-bellied Tesia ,Tesia cyaniventer ,LC,LC,w,4
Chestnut-headed Tesia ,"Cettia
castaneocoronata",LC,LC,w,4
Grey-sided Bush-warbler ,Cettia brunnifrons ,LC,LC,w,2
Pale-footed Bush-warbler ,Hemitesia pallidipes ,VU ,LC,w,5
"Brownish-flanked Bush
warbler",Horornis fortipes ,LC,LC,w,4
Aberrant Bush-warbler ,"Horornis
flavolivaceus",LC,LC,w,2
White-throated Tit ,"Aegithalos
niveogularis",LC,LC,v,2
