S N,English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Migration status,Occurrence status
327,Blyth's Reed-warbler ,"Acrocephalus
dumetorum",,,,w,2
328,Paddyfield Warbler ,Acrocephalus agricola ,,,,w,4
329,Clamorous Reed-warbler ,"Acrocephalus
stentoreus",NT ,,,r,2
Pnoepygidae,,,,,,,
330,Pygmy Cupwing ,Pnoepyga albiventer ,,,,w,4
Locustellidae,,,,,,,
331,Striated Grassbird ,Megalurus palustris ,CR ,,,r,3
332,Bristled Grassbird ,Chaetornis striata ,VU ,VU ,,r,3
Hirundinidae,,,,,,,
333,Nepal House Martin ,Delichon nipalense ,,,,w,4
334,Northern House Martin ,Delichon urbicum ,,,,w,4
335,Wire-tailed Swallow ,Hirundo smithii ,,,,r,2
336,Asian Plain Martin ,Riparia chinensis ,NT ,,,r,1
337,Barn Swallow ,Hirundo rustica ,,,,r,1
338,Red-rumped Swallow ,Cecropis daurica ,,,,w,3
339,Collared Sand Martin ,Riparia riparia ,,,,r,3
340,Pale Sand Martin ,Riparia diluta ,,,,r,4
Pycnonotidae,,,,,,,
341,Ashy Bulbul ,Hemixos flavala ,,,,r,4
342,Black Bulbul ,"Hypsipetes
leucocephalus",,,,r,1
343,Striated Bulbul ,Pycnonotus striatus ,,,,r,4
344,Black-crested Bulbul ,"Pycnonotus
flaviventris",,,,r,3
345,Red-whiskered Bulbul ,Pycnonotus jocosus ,,,,r,1
346,Himalayan Bulbul ,"Pycnonotus
leucogenys",,,,r,2
347,Red-vented Bulbul ,Pycnonotus cafer ,,,,r,1
Phylloscopidae,,,,,,,
348,Yellow-browed Warbler ,"Phylloscopus
inornatus",,,,w,4
349,Hume's Leaf-warbler ,Phylloscopus humei ,,,,w,1
350,"Lemon-rumped Leaf
warbler","Phylloscopus
chloronotus",,,,w,2
351,Buff-barred Warbler ,Phylloscopus pulcher ,,,,w,3
352,Ashy-throated Warbler ,"Phylloscopus
maculipennis",,,,w,3
353,Dusky Warbler ,"Phylloscopus
fuscatus",,,,w,2
354,Smoky Warbler ,"Phylloscopus
fuligiventer",,,,w,3
355,Siberian Chiffchaff ,"Phylloscopus
collybita",,,,w,2
